"Link","Marque et annee","Prix","listing-card__header__price 2","font-weight-lighter","Adresse","Adresse","Proprietaire"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/jeep/cherokee/annonce-136534","Jeep Cherokee 2020","50 000","F","CFA","Yoff,","Dakar","Par A vos  services"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/tucson/annonce-136496","Hyundai Tucson 2017","35 000","F","CFA","VDN,","Dakar","Par Valer NDOUBA"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/scape/annonce-136495","Ford scape 2017","35 000","F","CFA","VDN,","Dakar","Par Valer NDOUBA"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-136473","Ford Fusion 2014","25 000","F","CFA","Patte d'oie,","Dakar","Par Trade Company"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/chrysler/200s/annonce-136462","Chrysler 200s 2015","30 000","F","CFA","Fann,","Dakar","Par Jules  BADJI"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/nissan/pathfinder/annonce-136457","Nissan Pathfinder 2014","40 000","F","CFA","Ouakam,","Dakar","Par LOCA VOITURE  DAKAR"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/hilux/annonce-136406","Toyota Hilux 2016","40 000","F","CFA","Diamaguene Sicap Mbao,","Dakar","Par Cartel ."
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/sonata/annonce-136397","Hyundai Sonata 2016","25 000","F","CFA","VDN,","Dakar","Par MODOU  LO"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/skoda/fabia/annonce-136377","Skoda fabia 2016","25 000","F","CFA","Hlm,","Dakar","Par DAKAR MOTORS  PRO-SUARL"
"https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/starex-12-places/annonce-136301","Hyundai Starex-12-places 2013","60 000","F","CFA","Ouakam,","Dakar","Par SYLLA BUSINESS  GROUP"
